Analyte	Target	EntrezGeneSymbol	Estimate	Standard_error	Pvalue	FDR	bonferroni	diffexpressed
X18324.61	SUOX	SUOX	0.012840242	0.003305134	0.000108386	0.000402436	0.76184776	Significant
X8464.31	RSPO4	RSPO4	0.006519049	0.001678056	0.000108439	0.000402436	0.762214318	Significant
X25235.2	DPH7	DPH7	0.002822686	0.000727138	0.00010977	0.000407163	0.771573129	Significant
X25274.2	ANKR2	ANKRD2	-0.011207036	0.002888217	0.000110947	0.000411313	0.779848757	Significant
X10817.26	TO20L	TOMM20L	-0.007629158	0.001967729	0.000111848	0.000414435	0.786182581	Significant
X7156.2	FUT10	FUT10	0.027549805	0.007107218	0.00011219	0.00041548	0.78858078	Significant
X5581.28	FGL1	FGL1	0.039111367	0.010095088	0.000113236	0.000419135	0.795936575	Significant
X11275.94	LRP1B	LRP1B	0.004833876	0.001247954	0.000113537	0.000419851	0.798048856	Significant
X20584.4	nectin-1 gamma:ECD	NECTIN1	0.020382379	0.005262238	0.000113549	0.000419851	0.798137179	Significant
X11333.82	RHG25	ARHGAP25	0.011265071	0.00290892	0.000113881	0.000420857	0.8004698	Significant
X11208.15	NAGPA	NAGPA	0.01759288	0.004543309	0.000114047	0.000421247	0.801633619	Significant
X10605.22	APMAP	APMAP	0.008842493	0.002285798	0.000115907	0.000427894	0.81471007	Significant
X21833.6	sirtuin	SIRT6	-0.009388943	0.002429469	0.000117886	0.000434971	0.828619024	Significant
X22777.46	SKP2	SKP2	-0.004875724	0.001261758	0.00011804	0.000435148	0.829705251	Significant
X21799.15	HOME3	HOMER3	-0.008962039	0.002319338	0.00011809	0.000435148	0.830051739	Significant
X12712.9	HM20A	HMG20A	-0.003037394	0.000786098	0.00011812	0.000435148	0.830262753	Significant
X7136.107	Hemoglobin epsilon chain	HBE1	-0.035111182	0.009089728	0.000118506	0.000436342	0.832977054	Significant
X17152.10	KI2S4	KIR2DS4	-0.003332981	0.000862822	0.000118612	0.000436503	0.833721019	Significant
X9786.310	IEX1	IER3	-0.006094677	0.001578695	0.000119641	0.000440061	0.840955892	Significant
X24055.44	CSTF1	CSTF1	-0.008946785	0.002318831	0.000120793	0.000444047	0.849057146	Significant
X8002.27	Spinesin	TMPRSS5	0.026354548	0.00683127	0.000120851	0.000444047	0.849461143	Significant
X17843.30	PPCS	PPCS	-0.007679512	0.001990801	0.000121126	0.000444824	0.851393353	Significant
X13735.1	RPGP1	RAP1GAP	0.004313226	0.001118331	0.000121406	0.000445622	0.853366146	Significant
X21227.18	SULT 1A1*2	SULT1A1	-0.004438294	0.001152615	0.000124455	0.000456574	0.874795516	Significant
X10756.34	UCN3	UCN3	0.010343668	0.002688623	0.000126546	0.000464001	0.889489089	Significant
X17726.3	SAR1A	SAR1A	-0.006079516	0.001580787	0.000126902	0.000465066	0.891995668	Significant
X23601.43	ACO12	ACOT12	-0.007577912	0.001970574	0.000127073	0.000465447	0.893193745	Significant
X22091.14	BUP1	UPB1	0.00380764	0.000990545	0.000127943	0.000468375	0.899314156	Significant
X22824.53	VATC2	ATP6V1C2	0.013216614	0.003438476	0.000128005	0.000468375	0.899748105	Significant
X21182.8	SEN15	TSEN15	0.004116909	0.001071287	0.000128492	0.000469913	0.903173037	Significant
X14670.1	SKIL	SKIL	0.009164873	0.002386224	0.000129647	0.000473773	0.911291459	Significant
X17761.2	NUDT5	NUDT5	0.014295688	0.00372206	0.000129683	0.000473773	0.911539449	Significant
X20535.68	I17RE	IL17RE	-0.0052807	0.00137576	0.00013081	0.000477643	0.919462602	Significant
X6352.8	INSRR	INSRR	0.013318394	0.003471059	0.000131499	0.000479911	0.92430944	Significant
X25105.87	EIF2A	EIF2A	-0.007978466	0.002079671	0.000131848	0.000480934	0.926760256	Significant
X23568.41	MEIS2	MEIS2	0.003373671	0.000879828	0.000132893	0.000484493	0.93410217	Significant
X17675.17	ACO13	ACOT13	-0.013136807	0.003426589	0.000133348	0.000485901	0.93730345	Significant
X3081.70	ULBP-1	ULBP1	-0.005715768	0.001491158	0.00013355	0.000486384	0.938721485	Significant
X24307.22	KDM8	KDM8	-0.005739908	0.001497998	0.000134353	0.000489058	0.944370729	Significant
X5738.25	Tenascin	TNC	0.022085777	0.005764922	0.000134675	0.000489975	0.946631475	Significant
X13405.61	ISK2	SPINK2	0.019804561	0.005170068	0.000135107	0.000491292	0.949667888	Significant
X9864.38	TTC1	TTC1	0.027573482	0.007200318	0.000135532	0.000492583	0.952656068	Significant
X3026.5	Calpastatin	CAST	0.012226738	0.003193995	0.00013643	0.00049559	0.958967347	Significant
X8094.20	CISD2	CISD2	-0.00531473	0.001388538	0.000136534	0.000495711	0.959696728	Significant
X3344.60	Antithrombin III	SERPINC1	-0.003390098	0.000886054	0.000137454	0.000498764	0.966165188	Significant
X13930.3	ABC3G	APOBEC3G	-0.004197601	0.001097184	0.000137517	0.000498764	0.966604438	Significant
X16300.4	TREM2	TREM2	0.031291317	0.008180224	0.00013785	0.000499714	0.968945593	Significant
X19111.10	UBC12	UBE2M	0.006101659	0.001594755	0.000137958	0.000499849	0.969706093	Significant
X5691.2	CRLD2	CRISPLD2	-0.005199454	0.001359774	0.000138668	0.000502162	0.974696317	Significant
X9316.67	WFDC1	WFDC1	0.033942978	0.00888845	0.000141478	0.000512075	0.994450055	Significant
X7879.12	Cytochrome P450 3A4	CYP3A4	-0.002858547	0.000749051	0.000142956	0.000517156	1	Significant
X9993.11	ZN264	ZNF264	-0.005979403	0.001567121	0.00014344	0.000518304	1	Significant
X9444.70	DGCR6	DGCR6	-0.003680128	0.000964563	0.000143454	0.000518304	1	Significant
X13682.47	M-CSF R	CSF1R	0.010528259	0.002759522	0.000143494	0.000518304	1	Significant
X23660.112	KLH41	KLHL41	-0.013031816	0.003417983	0.000145453	0.000525111	1	Significant
X14009.65	TNFAIP3	TNFAIP3	-0.003790362	0.000994585	0.000145923	0.000526537	1	Significant
X17794.6	Phosphomannomutase 2	PMM2	-0.021841572	0.005731971	0.000146239	0.000527404	1	Significant
X19372.7	MDGA2	MDGA2	0.022102005	0.005801447	0.000146645	0.000528599	1	Significant
X24892.8	SHP1L	SHCBP1L	0.005938143	0.001558978	0.000147492	0.000531379	1	Significant
X18192.69	MAGE-5	MAGEA5	-0.007599235	0.001995441	0.000147667	0.000531736	1	Significant
X12713.365	RGS19	RGS19	-0.006577252	0.001727877	0.0001486	0.000534824	1	Significant
X6388.21	CC126	CCDC126	0.003322081	0.000873145	0.00014972	0.000538578	1	Significant
X22796.17	TADA1	TADA1	-0.008079473	0.002125056	0.000151304	0.000543997	1	Significant
X7152.5	TIMD3	HAVCR2	0.021036853	0.005534125	0.000151661	0.000545003	1	Significant
X9310.2	CD8B	CD8B	-0.005925548	0.001559533	0.000152739	0.000548595	1	Significant
X6605.17	IGFALS	IGFALS	-0.028939362	0.007618054	0.000153292	0.000550302	1	Significant
X12558.3	UBS3B	UBASH3B	-0.006296607	0.001658766	0.000155036	0.000556277	1	Significant
X4866.59	TrkB	NTRK2	0.02104946	0.005545936	0.000155211	0.000556623	1	Significant
X3024.18	a2-Antiplasmin	SERPINF2	-0.030468103	0.008032665	0.000156774	0.00056194	1	Significant
X5457.5	COLEC12	COLEC12	0.014452846	0.00381049	0.000156854	0.00056194	1	Significant
X21957.12	BCAP	PIK3AP1	-0.002714821	0.000716132	0.00015808	0.000566043	1	Significant
X15387.44	Neuropilin-2	NRP2	0.014191371	0.003746513	0.000159972	0.000572528	1	Significant
X13378.80	YD286	C5orf63	-0.003360277	0.0008878	0.00016218	0.000580136	1	Significant
X20937.43	NEP1	EMG1	-0.005583653	0.001475752	0.000162728	0.000581798	1	Significant
X24967.4	PCDH1	PCDH1	0.014065594	0.003719648	0.000164231	0.000586873	1	Significant
X17327.3	CNPY3	CNPY3	0.014073773	0.003723908	0.000166033	0.000593011	1	Significant
X4428.1	CHST2	CHST2	-0.006025414	0.001594769	0.00016621	0.000593343	1	Significant
X19188.21	NAP2L	NAP1L4	-0.038105729	0.010087351	0.000166838	0.000595283	1	Significant
X5008.51	Mn SOD	SOD2	0.010848236	0.002872344	0.000167167	0.000596154	1	Significant
X9887.40	RBBP6	RBBP6	-0.003350869	0.000887328	0.000167542	0.000597187	1	Significant
X2685.21	IGFBP-5	IGFBP5	0.011068876	0.002931853	0.000168137	0.000599003	1	Significant
X16823.75	APOL3	APOL3	-0.006310353	0.001673126	0.000170688	0.000607784	1	Significant
X14283.12	RAB14	RAB14	0.015889143	0.004215836	0.000172496	0.0006139	1	Significant
X12650.43	GNAI3	GNAI3	-0.008303931	0.002202284	0.00017258	0.0006139	1	Significant
X13519.112	ARHGP	ARHGEF25	0.003662452	0.00097217	0.000173599	0.00061721	1	Significant
X4775.34	Gelsolin	GSN	0.016080829	0.004268809	0.000173759	0.000617467	1	Significant
X14692.3	ZN276	ZNF276	-0.007722446	0.002050156	0.000174007	0.000618036	1	Significant
X15503.20	Lefty-A	LEFTY2	0.024200826	0.006425457	0.00017417	0.000618305	1	Significant
X2575.5	Leptin	LEP	-0.011783978	0.003128658	0.000174274	0.000618361	1	Significant
X5202.4	PPID	PPID	-0.004353863	0.001156057	0.000174471	0.000618748	1	Significant
X21433.3	BT3A2	BTN3A2	0.034316607	0.009115635	0.000175652	0.00062262	1	Significant
X19631.13	Kininostatin	KNG1	0.01934138	0.005139952	0.000177011	0.000627121	1	Significant
X9178.30	NEUREGULIN-1	NRG1	0.006295928	0.001673925	0.000177872	0.000629856	1	Significant
X9002.36	SPA11	SERPINA11	-0.006035567	0.001605173	0.000178819	0.000632889	1	Significant
X23541.61	CLYBL	CLYBL	-0.006885251	0.001832123	0.000180024	0.000636833	1	Significant
X18253.8	SSB	SSBP1	-0.006037419	0.001606523	0.000180183	0.000637077	1	Significant
X15339.32	COF2	CFL2	0.039486861	0.01051701	0.000182576	0.000645212	1	Significant
X2616.23	ERBB2	ERBB2	-0.005221135	0.00139144	0.00018415	0.000650448	1	Significant
X8407.84	NOTC2	NOTCH2	0.01841965	0.004907433	0.000184957	0.00065297	1	Significant
X16610.13	LRP10	LRP10	0.014102755	0.003760424	0.000185627	0.000655005	1	Significant
X17785.11	RCL	DNPH1	-0.005241217	0.001399284	0.000189169	0.00066717	1	Significant
X24922.19	NHLC2	NHLRC2	-0.004703063	0.001256051	0.0001901	0.000670118	1	Significant
X13992.12	NSF	NSF	0.023241552	0.006208287	0.000190601	0.000671548	1	Significant
X15300.66	CC134	CCDC134	0.019564744	0.005226583	0.000190791	0.000671878	1	Significant
X12662.82	ECH1	ECH1	0.003260268	0.000870965	0.000190931	0.000672036	1	Significant
X7995.16	VWC2L	None	0.010513417	0.002809466	0.000191766	0.000674321	1	Significant
X10800.15	Collagen-binding protein	SERPINH1	-0.007682501	0.002053074	0.000191808	0.000674321	1	Significant
X3311.27	FCG3B	FCGR3B	0.01678996	0.004487023	0.000191868	0.000674321	1	Significant
X12382.2	DDX58	DDX58	-0.003904048	0.001044298	0.000194668	0.000683818	1	Significant
X13975.56	LIPA1	PPFIA1	0.00339349	0.000907989	0.000195437	0.000685967	1	Significant
X22974.25	H2B2E	H2BC21	-0.04245871	0.011361378	0.000195475	0.000685967	1	Significant
X22578.17	ROBO2	ROBO2	0.019353881	0.005179237	0.000195713	0.000686461	1	Significant
X20427.18	MED20	MED20	-0.004226198	0.001131375	0.000196957	0.00069048	1	Significant
X13502.2	S2611	SLC26A11	0.005315639	0.001423144	0.000197362	0.000691556	1	Significant
X21547.6	DMP4	FAM20C	0.015363739	0.004114319	0.000197719	0.00069246	1	Significant
X2788.55	MMP-3	MMP3	0.010784846	0.002888883	0.000198479	0.000694774	1	Significant
X4547.59	FLRT1	FLRT1	0.009450344	0.002532556	0.000199921	0.000699474	1	Significant
X12916.3	MTCP1	MTCP1	0.004366909	0.001170072	0.000200134	0.000699873	1	Significant
X8671.378	TPPC5	TRAPPC5	-0.002834214	0.000759623	0.000200402	0.00070046	1	Significant
X12475.48	CLIC5	CLIC5	-0.033368393	0.008946477	0.000201478	0.000703872	1	Significant
X5468.67	IL-17 RC	IL17RC	0.009056629	0.002428467	0.000201693	0.000704271	1	Significant
X6425.87	MMP19	MMP19	0.025327294	0.006799081	0.000204931	0.000715222	1	Significant
X19189.2	UBP14	USP14	0.013304754	0.003572078	0.00020563	0.000717306	1	Significant
X6543.182	PRRP	PRLH	-0.00558875	0.001500794	0.000205965	0.000718118	1	Significant
X16818.200	CDCP1	CDCP1	0.016424868	0.004411214	0.000206284	0.000718875	1	Significant
X11601.26	DHX8	DHX8	-0.005362169	0.001440424	0.000206942	0.00072081	1	Significant
X20947.50	NC2B	DR1	0.008227471	0.002210722	0.00020778	0.00072337	1	Significant
X20591.48	GLDN	GLDN	0.024859426	0.006683642	0.000209496	0.000728982	1	Significant
X16302.11	SPLC2	BPIFA2	-0.005243859	0.001410512	0.000211109	0.000734234	1	Significant
X6897.38	B3GA3	B3GAT3	0.009667354	0.002600892	0.000211575	0.000735489	1	Significant
X9796.4	CEL	CEL	-0.0376023	0.010121813	0.000213577	0.000742081	1	Significant
X3466.8	PRKACA	PRKACA	0.014931354	0.004019423	0.000213851	0.000742669	1	Significant
X6550.4	ICAM4	ICAM4	-0.004585461	0.001234952	0.000214816	0.00074565	1	Significant
X9018.38	PCD10:ECD	PCDH10	0.02016272	0.005430415	0.000214946	0.000745732	1	Significant
X24675.2	MAST4	MAST4	-0.028536155	0.007693185	0.000218055	0.000756146	1	Significant
X21357.12	FBLI1	FBLIM1	-0.013741729	0.003704914	0.000218254	0.000756462	1	Significant
X5624.66	FOLR3	FOLR3	0.006097079	0.001644051	0.000218759	0.000757839	1	Significant
X6651.74	PolyUbiquitin K48	UBB	0.007585175	0.002045745	0.000219331	0.000759446	1	Significant
X15405.23	IFNA4	IFNA4	-0.00508378	0.00137131	0.000219735	0.000760472	1	Significant
X4988.49	FGFR4	FGFR4	-0.005677485	0.001531611	0.000220138	0.000761492	1	Significant
X10076.1	AP4M1	AP4M1	-0.002109337	0.000569119	0.000220796	0.000763392	1	Significant
X14112.40	RELT	RELT	0.006628921	0.001788915	0.000221252	0.000764593	1	Significant
X4984.83	Esterase D	ESD	0.034383964	0.00928277	0.000222571	0.000768771	1	Significant
X18823.52	H2B3B	H2BU1	-0.051128755	0.013805016	0.000222819	0.000769251	1	Significant
X13707.27	SPARCL1	SPARCL1	0.013124682	0.003544902	0.000223951	0.000772779	1	Significant
X14107.1	MTHFS	MTHFS	-0.008295043	0.002240798	0.000224547	0.000774457	1	Significant
X5638.23	GT251	COLGALT1	-0.019035007	0.005143843	0.000225605	0.000777725	1	Significant
X3000.66	MBL	MBL2	-0.007061699	0.001908843	0.000226591	0.00078074	1	Significant
X11872.9	PCDGD	PCDHGB1	-0.004428465	0.001197181	0.000226904	0.000781424	1	Significant
X12659.13	GTPB9	OLA1	0.018399524	0.004973952	0.000227012	0.000781424	1	Significant
X5643.2	LCN8	LCN8	0.004043459	0.001093114	0.000227134	0.00078146	1	Significant
X2421.7	BDNF	BDNF	-0.005992176	0.001621148	0.00022942	0.000788941	1	Significant
X6380.23	ICT1	MRPL58	0.017459949	0.004723637	0.000229642	0.000789316	1	Significant
X12427.8	MPIP2	CDC25B	0.004580927	0.001239485	0.000229875	0.000789393	1	Significant
X20539.4	HNP-3	DEFA3	-0.004995728	0.001351701	0.000229889	0.000789393	1	Significant
X18876.77	CHST4	CHST4	-0.004795458	0.0012979	0.00023065	0.000791621	1	Significant
X24910.18	NonO protein	NONO	-0.006280541	0.001700681	0.000232439	0.000797371	1	Significant
X24905.22	CX04A	EOLA1	0.003319576	0.000899238	0.000233669	0.000801199	1	Significant
X24490.16	THAP4	THAP4	0.014717589	0.003988341	0.000234984	0.000805315	1	Significant
X24411.144	LRSM1	LRSAM1	0.003447797	0.000934523	0.000235733	0.000807487	1	Significant
X19376.74	NNMT	NNMT	-0.009576522	0.002595926	0.000236096	0.000808221	1	Significant
X23554.2	SHD	SHD	0.004198624	0.001138197	0.000236177	0.000808221	1	Significant
X16872.248	MAAI	GSTZ1	0.003744952	0.001015264	0.000236441	0.000808731	1	Significant
X18932.84	NMNA1	NMNAT1	-0.004734078	0.001283762	0.000237149	0.000810758	1	Significant
X25480.21	UBAC1	UBAC1	-0.005987797	0.001625028	0.000240193	0.000820766	1	Significant
X3810.50	FGR	FGR	-0.005783345	0.001570397	0.00024173	0.000825618	1	Significant
X3437.80	Flt-3	FLT3	-0.005249088	0.00142563	0.000242548	0.000828009	1	Significant
X11592.1	ELAV1	ELAVL1	-0.005559076	0.001509909	0.000242678	0.000828052	1	Significant
X2609.59	Cystatin C	CST3	-0.004649022	0.001262869	0.000243086	0.000829042	1	Significant
X12456.5	F263	PFKFB3	-0.003746218	0.001017846	0.00024403	0.000831857	1	Significant
X7268.12	IFNA4	IFNA4	-0.002593841	0.000705949	0.000250128	0.000852229	1	Significant
X16907.3	Nectin-like protein 3	CADM2	0.018734589	0.005102995	0.000252644	0.00086028	1	Significant
X17682.1	CD46	CD46	0.018689979	0.005090916	0.000252736	0.00086028	1	Significant
X8894.80	hnRNP A/B	HNRNPAB	-0.004956096	0.001350691	0.000254605	0.000866222	1	Significant
X22523.4	PABP5	PABPC5	0.004758028	0.001296782	0.000254945	0.000866962	1	Significant
X4393.3	FGF-16	FGF16	-0.005700233	0.001554166	0.000256206	0.000870826	1	Significant
X3506.49	Lymphotoxin a2/b1	LTA|LTB	-0.006748385	0.001840472	0.000257537	0.000874928	1	Significant
X12484.67	PIPNB	PITPNB	-0.00497832	0.001358155	0.000258443	0.000877584	1	Significant
X25052.3	CRLF3	CRLF3	0.00634787	0.001733725	0.000262583	0.000891209	1	Significant
X15436.40	RAMP1	RAMP1	0.004323162	0.001181572	0.000266421	0.00090355	1	Significant
X11678.105	CXD2	GJD2	0.006803578	0.0018594	0.000266476	0.00090355	1	Significant
X14144.3	H2A3	H2AW	-0.03735544	0.010214074	0.000266694	0.000903854	1	Significant
X24479.25	T225B	TMEM225B	-0.003176203	0.000868727	0.000267896	0.000907489	1	Significant
X18942.11	PSB9	PSMB9	-0.024376863	0.00667582	0.000272684	0.000923243	1	Significant
X4829.43	STRATIFIN	SFN	0.019519856	0.005345396	0.000272809	0.000923243	1	Significant
X25266.14	OSBL1	OSBPL1A	-0.007138441	0.001955425	0.000273729	0.00092591	1	Significant
X12395.86	SYDM	DARS2	-0.014004704	0.003837281	0.000274666	0.000928634	1	Significant
X7852.9	IF3M	MTIF3	-0.00513426	0.001407703	0.00027726	0.000936953	1	Significant
X21963.48	DAB2	DAB2	-0.010138966	0.002781454	0.000279608	0.000944433	1	Significant
X8959.61	ADAM 17:ECD	ADAM17	0.004588313	0.001258908	0.000280278	0.000946242	1	Significant
X2751.16	Azurocidin	AZU1	-0.005457264	0.001498899	0.000284121	0.000958753	1	Significant
X3628.3	MP2K2	MAP2K2	-0.004644618	0.001275894	0.000285056	0.000961311	1	Significant
X2523.31	RANTES	CCL5	-0.007065758	0.001941194	0.000285152	0.000961311	1	Significant
X2431.17	Cathepsin G	CTSG	-0.00615598	0.001692306	0.000287742	0.000969293	1	Significant
X23307.7	CLUA1	CLUAP1	0.011034676	0.003033507	0.000287846	0.000969293	1	Significant
X7851.30	ANR46	ANKRD46	0.002930745	0.000805727	0.000287933	0.000969293	1	Significant
X11406.82	ACAD8	ACAD8	0.003838405	0.001056009	0.00029102	0.000979215	1	Significant
X12433.8	ARL11	ARL11	0.011293434	0.00310722	0.000291221	0.000979422	1	Significant
X10827.67	LIGO3	LINGO3	-0.024885776	0.006848674	0.000292127	0.000981999	1	Significant
X19561.216	PLXD1	PLXND1	0.023642902	0.006507078	0.000292292	0.000982085	1	Significant
X14143.8	H2B2E	H2BC21	-0.072609593	0.019989565	0.000293446	0.000985087	1	Significant
X9532.5	WBP1L	WBP1L	-0.004744476	0.001306118	0.000293466	0.000985087	1	Significant
X8297.8	DJC10	DNAJC10	0.010304288	0.002837588	0.000294607	0.000988444	1	Significant
X12569.25	TCP-1-epsilon	CCT5	-0.022860401	0.006295513	0.000295025	0.000989375	1	Significant
X24476.18	ASC-1 complex subunit p100	ASCC2	0.003081076	0.000848772	0.000296271	0.000992633	1	Significant
X12925.105	AXIN2	AXIN2	-0.009990391	0.00275219	0.000296279	0.000992633	1	Significant
X21645.6	SNIP1	SNIP1	-0.009126346	0.00251424	0.000296493	0.000992876	1	Significant
X17460.51	Mx1	MX1	-0.008913068	0.002456647	0.000298368	0.000998418	1	Significant
X12430.78	PAIP1	PAIP1	0.003022088	0.000832956	0.000298432	0.000998418	1	Significant
X2635.61	Layilin	LAYN	0.024286465	0.006694903	0.000298971	0.000999747	1	Significant
X4389.2	DHH	DHH	0.012560847	0.003462672	0.000299451	0.001000857	1	Significant
X19183.164	RL12	RPL12	-0.022640066	0.006241977	0.000299588	0.001000857	1	Significant
X13671.40	Elastase	ELANE	-0.041820005	0.01153317	0.000301016	0.00100515	1	Significant
X3634.5	OBCAM	OPCML	-0.010323789	0.002848597	0.000303357	0.001012488	1	Significant
X6252.62	Secretoglobin family 3A member 1	SCGB3A1	-0.021449557	0.00592161	0.000305522	0.001019229	1	Significant
X17511.10	RPP30	RPP30	-0.003803163	0.001050414	0.00030699	0.001023641	1	Significant
X20928.39	TCAL7	TCEAL7	0.004311807	0.001191217	0.000308244	0.001027333	1	Significant
X16932.5	SULT 1E	SULT1E1	-0.00582702	0.00161066	0.000310311	0.001033732	1	Significant
X20564.53	THY1	THY1	-0.008743119	0.002416818	0.00031057	0.001034105	1	Significant
X22375.15	HXA11	HOXA11	0.004985763	0.001378231	0.000310746	0.0010342	1	Significant
X15580.2	EPHA7	EPHA7	0.009843762	0.00272133	0.000311003	0.001034568	1	Significant
X7882.31	SLAF7	SLAMF7	-0.00341586	0.00094431	0.000311281	0.001034951	1	Significant
X20127.102	HEPH	HEPH	-0.016357943	0.004522205	0.000311413	0.001034951	1	Significant
X8465.52	Cathepsin H	CTSH	-0.03637327	0.01005852	0.000312478	0.001037998	1	Significant
X21492.19	CLUL1	CLUL1	-0.03636366	0.010059839	0.00031399	0.001042531	1	Significant
X7131.8	CETP	CETP	-0.004887912	0.00135425	0.000320548	0.001063803	1	Significant
X12616.45	NRBP	NRBP1	0.005579807	0.001546441	0.000322035	0.001068234	1	Significant
X6356.3	Carboxypeptidase B1	CPB1	0.031251864	0.008662437	0.000322433	0.001069048	1	Significant
X5606.24	MFAP1	MFAP1	-0.003577191	0.000992029	0.000324914	0.001076728	1	Significant
X15576.158	ECP	RNASE3	0.022870725	0.006342905	0.000325056	0.001076728	1	Significant
X9926.4	S100P	S100P	0.012310525	0.003415195	0.000326388	0.001080308	1	Significant
X18300.39	PURB	PURB	-0.00704347	0.001953923	0.000326444	0.001080308	1	Significant
X25484.120	ARI3C	ARID3C	-0.006175353	0.001714038	0.000328536	0.00108672	1	Significant
X5124.69	sICAM-5	ICAM5	0.024166978	0.006708388	0.000328996	0.001087728	1	Significant
X5740.17	ROBO1	ROBO1	0.017856021	0.004962578	0.000334441	0.001105212	1	Significant
X25918.60	HLAE	HLA-E	0.01916615	0.005328732	0.000336323	0.00111091	1	Significant
X8043.153	COMP	COMP	-0.036013161	0.010014267	0.000336913	0.001112335	1	Significant
X10743.13	SLIK1	SLITRK1	0.028371707	0.007891595	0.000338202	0.001116066	1	Significant
X8903.1	COX6C	COX6C	-0.005077295	0.001412379	0.000338646	0.001117008	1	Significant
X14254.27	PTN4	PTPN4	0.008895696	0.002475068	0.000339768	0.001120183	1	Significant
X21810.50	MART-1	MLANA	-0.009741034	0.002711323	0.000342107	0.001127366	1	Significant
X13449.25	SF3B4	SF3B4	0.00330892	0.000921158	0.000342309	0.001127503	1	Significant
X4718.5	PPIB	PPIB	-0.005137122	0.00143033	0.000343163	0.001129787	1	Significant
X8468.19	PSA	KLK3	-0.007519032	0.002094172	0.000344701	0.001134317	1	Significant
X23670.11	DPH2	DPH2	0.002927014	0.000815326	0.000344976	0.001134692	1	Significant
X8807.13	SNX1	SNX1	0.004678743	0.001303398	0.000346261	0.001138385	1	Significant
X12538.19	RGS7	RGS7	0.010554061	0.002940826	0.000346595	0.001138951	1	Significant
X19163.26	LRC59	LRRC59	-0.00541198	0.001508344	0.000347584	0.001141666	1	Significant
X10746.24	DKK3	DKK3	0.014144375	0.003943436	0.000349093	0.001146087	1	Significant
X4162.54	Transferrin	TF	-0.004475436	0.001248426	0.000352324	0.001156154	1	Significant
X10630.5	HTAI2	HTATIP2	-0.005026179	0.001402976	0.000355219	0.001165112	1	Significant
X11387.3	ATF6B	ATF6B	0.015586516	0.004355672	0.000360364	0.001181437	1	Significant
X23269.40	CKLF4	CMTM4	0.019431736	0.005432214	0.000362537	0.001188007	1	Significant
X20076.7	MNDA	MNDA	-0.051576753	0.014425442	0.000364529	0.001193976	1	Significant
X22010.36	PRKRA	PRKRA	-0.004135916	0.001157084	0.000365923	0.001197985	1	Significant
X24244.81	RILP	RILP	-0.005642034	0.001578427	0.000366108	0.001198033	1	Significant
X19278.19	RAB1B	RAB1B	-0.018825415	0.005269823	0.000368996	0.001206814	1	Significant
X13655.34	Nucleolin	NCL	-0.004748387	0.00132927	0.000369135	0.001206814	1	Significant
X9250.87	HNP-1	DEFA1	-0.004874911	0.00136498	0.000370433	0.001210494	1	Significant
X13039.1	PP1R8	PPP1R8	-0.008332052	0.002334543	0.000373436	0.00121974	1	Significant
X9110.2	SYT17	SYT17	-0.005379298	0.001507443	0.000374152	0.001221512	1	Significant
X5810.25	Cripto	TDGF1	0.046904614	0.013145147	0.00037454	0.001222195	1	Significant
X8356.88	NEU1	OXT	0.018709444	0.005243569	0.000374852	0.001222195	1	Significant
X2443.10	FGF-8B	FGF8	-0.005700437	0.001597646	0.000374883	0.001222195	1	Significant
X22402.12	H2A1A	H2AC1	-0.036642411	0.010270493	0.000375193	0.001222638	1	Significant
X9557.5	MANS1	MANSC1	0.018251165	0.005119186	0.000378772	0.001233731	1	Significant
X21913.5	TYY2	YY2	-0.006158422	0.001728214	0.000381403	0.001241723	1	Significant
X11671.19	BRPF1	BRPF1	-0.004397291	0.001234064	0.000381663	0.001241994	1	Significant
X3613.62	FCN1	FCN1	-0.010185725	0.002860145	0.000384743	0.001251439	1	Significant
X19274.80	Alpha-1-syntrophin	SNTA1	0.005320136	0.001493912	0.000385095	0.001252003	1	Significant
X24318.13	FGD2	FGD2	-0.006954379	0.001953033	0.000385384	0.001252364	1	Significant
X23212.8	EURL	EURL	0.010924671	0.003070871	0.000390549	0.001268561	1	Significant
X12788.6	SGF29	SGF29	0.003472571	0.000976392	0.000391396	0.001270726	1	Significant
X2567.5	Factor I	CFI	-0.008541081	0.00240163	0.000391708	0.001271151	1	Significant
X22479.64	IP6K2	IP6K2	-0.007368461	0.002073306	0.000395391	0.001282513	1	Significant
X6456.17	PSG6	PSG6	-0.002758176	0.000776935	0.000401163	0.001300633	1	Significant
X10582.36	SG196	POMK	0.010514948	0.002964125	0.000405128	0.001312884	1	Significant
X21439.37	HCLS1	HCLS1	-0.022970988	0.006479541	0.000408472	0.00132311	1	Significant
X13650.11	KCIP1	KCNIP1	-0.006081867	0.001717806	0.000415853	0.001346397	1	Significant
X23322.2	MUSC	MSC	0.011215989	0.003168545	0.000416875	0.001348942	1	Significant
X18156.7	ATG3	ATG3	-0.00496702	0.001403252	0.000417023	0.001348942	1	Significant
X2875.15	TBP	TBP	-0.005187859	0.001465795	0.000417964	0.001351364	1	Significant
X24407.31	KIF3C	KIF3C	-0.006171916	0.001744873	0.000421447	0.001362	1	Significant
X8921.139	PABP2	PABPN1	-0.005909699	0.001671124	0.000422281	0.001364068	1	Significant
X9377.25	SCF	KITLG	0.016354047	0.004625428	0.000423264	0.001366616	1	Significant
