database	model	descr	descr_cleaned	ninter	nunion	jaccard_similarity
Reactome_2022	gpt-3.5-turbo-0125	Azathioprine ADME R-HSA-9748787	Azathioprine ADME	1	1	1.0
Reactome_2022	gpt-3.5-turbo-0125	B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924	B-WICH Complex Positively Regulates rRNA Expression	0	3	0.0
Reactome_2022	gpt-3.5-turbo-0125	BBSome-mediated Cargo-Targeting To Cilium R-HSA-5620922	BBSome-mediated Cargo-Targeting To Cilium	6	11	0.5454545454545454
Reactome_2022	gpt-3.5-turbo-0125	BH3-only Proteins Associate With And Inactivate Anti-Apoptotic BCL-2 Members R-HSA-111453	BH3-only Proteins Associate With And Inactivate Anti-Apoptotic BCL-2 Members	0	6	0.0
Reactome_2022	gpt-3.5-turbo-0125	BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108	BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression	2	3	0.6666666666666666
Reactome_2022	gpt-3.5-turbo-0125	Base Excision Repair R-HSA-73884	Base Excision Repair	2	9	0.2222222222222222
Reactome_2022	gpt-3.5-turbo-0125	Base-Excision Repair, AP Site Formation R-HSA-73929	Base-Excision Repair, AP Site Formation	1	6	0.16666666666666666
Reactome_2022	gpt-3.5-turbo-0125	Basigin Interactions R-HSA-210991	Basigin Interactions	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Beta Defensins R-HSA-1461957	Beta Defensins	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Beta Oxidation Of butanoyl-CoA To acetyl-CoA R-HSA-77352	Beta Oxidation Of butanoyl-CoA To acetyl-CoA	2	6	0.3333333333333333
Reactome_2022	gpt-3.5-turbo-0125	Beta Oxidation Of decanoyl-CoA To octanoyl-CoA-CoA R-HSA-77346	Beta Oxidation Of decanoyl-CoA To octanoyl-CoA-CoA	1	5	0.2
Reactome_2022	gpt-3.5-turbo-0125	Beta Oxidation Of hexanoyl-CoA To butanoyl-CoA R-HSA-77350	Beta Oxidation Of hexanoyl-CoA To butanoyl-CoA	1	3	0.3333333333333333
Reactome_2022	gpt-3.5-turbo-0125	Beta Oxidation Of lauroyl-CoA To decanoyl-CoA-CoA R-HSA-77310	Beta Oxidation Of lauroyl-CoA To decanoyl-CoA-CoA	0	3	0.0
Reactome_2022	gpt-3.5-turbo-0125	Beta Oxidation Of octanoyl-CoA To hexanoyl-CoA R-HSA-77348	Beta Oxidation Of octanoyl-CoA To hexanoyl-CoA	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Beta-catenin Independent WNT Signaling R-HSA-3858494	Beta-catenin Independent WNT Signaling	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Beta-catenin Phosphorylation Cascade R-HSA-196299	Beta-catenin Phosphorylation Cascade	2	5	0.4
Reactome_2022	gpt-3.5-turbo-0125	Beta-oxidation Of pristanoyl-CoA R-HSA-389887	Beta-oxidation Of pristanoyl-CoA	1	4	0.25
Reactome_2022	gpt-3.5-turbo-0125	Beta-oxidation Of Very Long Chain Fatty Acids R-HSA-390247	Beta-oxidation Of Very Long Chain Fatty Acids	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Bicarbonate Transporters R-HSA-425381	Bicarbonate Transporters	4	6	0.6666666666666666
Reactome_2022	gpt-3.5-turbo-0125	Bile Acid And Bile Salt Metabolism R-HSA-194068	Bile Acid And Bile Salt Metabolism	2	4	0.5
Reactome_2022	gpt-3.5-turbo-0125	Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782	Binding And Uptake Of Ligands By Scavenger Receptors	1	4	0.25
Reactome_2022	gpt-3.5-turbo-0125	Binding And Entry Of HIV Virion R-HSA-173107	Binding And Entry Of HIV Virion	3	4	0.75
Reactome_2022	gpt-3.5-turbo-0125	Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364	Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Biological Oxidations R-HSA-211859	Biological Oxidations	2	5	0.4
Reactome_2022	gpt-3.5-turbo-0125	Biosynthesis Of DHA-derived SPMs R-HSA-9018677	Biosynthesis Of DHA-derived SPMs	2	2	1.0
Reactome_2022	gpt-3.5-turbo-0125	Biosynthesis Of E-series 18(S)-resolvins R-HSA-9018896	Biosynthesis Of E-series 18(S)-resolvins	2	2	1.0
Reactome_2022	gpt-3.5-turbo-0125	Biosynthesis Of EPA-derived SPMs R-HSA-9018679	Biosynthesis Of EPA-derived SPMs	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Biosynthesis Of Maresin-Like SPMs R-HSA-9027307	Biosynthesis Of Maresin-Like SPMs	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Biosynthesis Of Maresins R-HSA-9018682	Biosynthesis Of Maresins	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Biosynthesis Of Specialized Proresolving Mediators (SPMs) R-HSA-9018678	Biosynthesis Of Specialized Proresolving Mediators (SPMs)	2	7	0.2857142857142857
Reactome_2022	gpt-3.5-turbo-0125	Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193	Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein	5	8	0.625
Reactome_2022	gpt-3.5-turbo-0125	Biotin Transport And Metabolism R-HSA-196780	Biotin Transport And Metabolism	0	3	0.0
Reactome_2022	gpt-3.5-turbo-0125	Blood Group Systems Biosynthesis R-HSA-9033658	Blood Group Systems Biosynthesis	3	4	0.75
Reactome_2022	gpt-3.5-turbo-0125	Branched-chain Amino Acid Catabolism R-HSA-70895	Branched-chain Amino Acid Catabolism	3	6	0.5
Reactome_2022	gpt-3.5-turbo-0125	Budding And Maturation Of HIV Virion R-HSA-162588	Budding And Maturation Of HIV Virion	0	3	0.0
Reactome_2022	gpt-3.5-turbo-0125	Butyrate Response Factor 1 Binds And Destabilizes mRNA R-HSA-450385	Butyrate Response Factor 1 Binds And Destabilizes mRNA	0	1	0.0
Reactome_2022	gpt-3.5-turbo-0125	Butyrophilin (BTN) Family Interactions R-HSA-8851680	Butyrophilin (BTN) Family Interactions	4	5	0.8
Reactome_2022	gpt-3.5-turbo-0125	C-type Lectin Receptors (CLRs) R-HSA-5621481	C-type Lectin Receptors (CLRs)	0	6	0.0
Reactome_2022	gpt-3.5-turbo-0125	CASP8 Activity Is Inhibited R-HSA-5218900	CASP8 Activity Is Inhibited	0	2	0.0
Reactome_2022	gpt-3.5-turbo-0125	CD163 Mediating An Anti-Inflammatory Response R-HSA-9662834	CD163 Mediating An Anti-Inflammatory Response	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	CD209 (DC-SIGN) Signaling R-HSA-5621575	CD209 (DC-SIGN) Signaling	1	1	1.0
Reactome_2022	gpt-3.5-turbo-0125	CD22 Mediated BCR Regulation R-HSA-5690714	CD22 Mediated BCR Regulation	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	CD28 Co-Stimulation R-HSA-389356	CD28 Co-Stimulation	1	5	0.2
Reactome_2022	gpt-3.5-turbo-0125	CD28 Dependent PI3K/Akt Signaling R-HSA-389357	CD28 Dependent PI3K/Akt Signaling	4	6	0.6666666666666666
Reactome_2022	gpt-3.5-turbo-0125	CD28 Dependent Vav1 Pathway R-HSA-389359	CD28 Dependent Vav1 Pathway	2	2	1.0
Reactome_2022	gpt-3.5-turbo-0125	CDC42 GTPase Cycle R-HSA-9013148	CDC42 GTPase Cycle	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	CDC6 Association With ORC:origin Complex R-HSA-68689	CDC6 Association With ORC:origin Complex	7	7	1.0
Reactome_2022	gpt-3.5-turbo-0125	CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017	CDK-mediated Phosphorylation And Removal Of Cdc6	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	CHL1 Interactions R-HSA-447041	CHL1 Interactions	1	1	1.0
Reactome_2022	gpt-3.5-turbo-0125	CLEC7A (Dectin-1) Induces NFAT Activation R-HSA-5607763	CLEC7A (Dectin-1) Induces NFAT Activation	2	2	1.0
Reactome_2022	gpt-3.5-turbo-0125	CLEC7A (Dectin-1) Signaling R-HSA-5607764	CLEC7A (Dectin-1) Signaling	2	3	0.6666666666666666
Reactome_2022	gpt-3.5-turbo-0125	CLEC7A/inflammasome Pathway R-HSA-5660668	CLEC7A/inflammasome Pathway	3	5	0.6
Reactome_2022	gpt-3.5-turbo-0125	COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434	COPI-dependent Golgi-to-ER Retrograde Traffic	0	10	0.0
Reactome_2022	gpt-3.5-turbo-0125	COPI-independent Golgi-to-ER Retrograde Traffic R-HSA-6811436	COPI-independent Golgi-to-ER Retrograde Traffic	0	1	0.0
Reactome_2022	gpt-3.5-turbo-0125	COPI-mediated Anterograde Transport R-HSA-6807878	COPI-mediated Anterograde Transport	3	10	0.3
Reactome_2022	gpt-3.5-turbo-0125	COPII-mediated Vesicle Transport R-HSA-204005	COPII-mediated Vesicle Transport	10	11	0.9090909090909091
Reactome_2022	gpt-3.5-turbo-0125	CREB Phosphorylation R-HSA-199920	CREB Phosphorylation	1	1	1.0
Reactome_2022	gpt-3.5-turbo-0125	CREB1 Phosphorylation Thru NMDA Receptor-Mediated Activation Of RAS Signaling R-HSA-442742	CREB1 Phosphorylation Thru NMDA Receptor-Mediated Activation Of RAS Signaling	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	CREB1 Phosphorylation Thru Activation Of Adenylate Cyclase R-HSA-442720	CREB1 Phosphorylation Thru Activation Of Adenylate Cyclase	2	10	0.2
Reactome_2022	gpt-3.5-turbo-0125	CREB1 Phosphorylation Thru Activation Of CaMKII/CaMKK/CaMKIV Cascasde R-HSA-442729	CREB1 Phosphorylation Thru Activation Of CaMKII/CaMKK/CaMKIV Cascasde	4	4	1.0
Reactome_2022	gpt-3.5-turbo-0125	CREB3 Factors Activate Genes R-HSA-8874211	CREB3 Factors Activate Genes	1	1	1.0
Reactome_2022	gpt-3.5-turbo-0125	CRMPs In Sema3A Signaling R-HSA-399956	CRMPs In Sema3A Signaling	0	7	0.0
Reactome_2022	gpt-3.5-turbo-0125	CS/DS Degradation R-HSA-2024101	CS/DS Degradation	0	5	0.0
Reactome_2022	gpt-3.5-turbo-0125	CTLA4 Inhibitory Signaling R-HSA-389513	CTLA4 Inhibitory Signaling	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	CTNNB1 S33 Mutants Not Phosphorylated R-HSA-5358747	CTNNB1 S33 Mutants Not Phosphorylated	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	CYP2E1 Reactions R-HSA-211999	CYP2E1 Reactions	1	1	1.0
Reactome_2022	gpt-3.5-turbo-0125	Ca-dependent Events R-HSA-111996	Ca-dependent Events	0	10	0.0
Reactome_2022	gpt-3.5-turbo-0125	Ca2+ Activated K+ Channels R-HSA-1296052	Ca2+ Activated K+ Channels	1	3	0.3333333333333333
Reactome_2022	gpt-3.5-turbo-0125	Ca2+ Pathway R-HSA-4086398	Ca2+ Pathway	2	7	0.2857142857142857
Reactome_2022	gpt-3.5-turbo-0125	CaM Pathway R-HSA-111997	CaM Pathway	1	5	0.2
Reactome_2022	gpt-3.5-turbo-0125	CaMK IV-mediated Phosphorylation Of CREB R-HSA-111932	CaMK IV-mediated Phosphorylation Of CREB	2	2	1.0
Reactome_2022	gpt-3.5-turbo-0125	Calcineurin Activates NFAT R-HSA-2025928	Calcineurin Activates NFAT	6	7	0.8571428571428571
Reactome_2022	gpt-3.5-turbo-0125	Calcitonin-like Ligand Receptors R-HSA-419812	Calcitonin-like Ligand Receptors	1	4	0.25
Reactome_2022	gpt-3.5-turbo-0125	Calnexin/calreticulin Cycle R-HSA-901042	Calnexin/calreticulin Cycle	2	3	0.6666666666666666
Reactome_2022	gpt-3.5-turbo-0125	Cap-dependent Translation Initiation R-HSA-72737	Cap-dependent Translation Initiation	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332	Carboxyterminal Post-Translational Modifications Of Tubulin	0	1	0.0
Reactome_2022	gpt-3.5-turbo-0125	Cardiac Conduction R-HSA-5576891	Cardiac Conduction	2	4	0.5
Reactome_2022	gpt-3.5-turbo-0125	Cargo Concentration In ER R-HSA-5694530	Cargo Concentration In ER	0	2	0.0
Reactome_2022	gpt-3.5-turbo-0125	Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825	Cargo Recognition For Clathrin-Mediated Endocytosis	4	11	0.36363636363636365
Reactome_2022	gpt-3.5-turbo-0125	Cargo Trafficking To Periciliary Membrane R-HSA-5620920	Cargo Trafficking To Periciliary Membrane	0	1	0.0
Reactome_2022	gpt-3.5-turbo-0125	Carnitine Metabolism R-HSA-200425	Carnitine Metabolism	3	4	0.75
Reactome_2022	gpt-3.5-turbo-0125	Caspase Activation Via Death Receptors In Presence Of Ligand R-HSA-140534	Caspase Activation Via Death Receptors In Presence Of Ligand	1	4	0.25
Reactome_2022	gpt-3.5-turbo-0125	Caspase Activation Via Dependence Receptors In Absence Of Ligand R-HSA-418889	Caspase Activation Via Dependence Receptors In Absence Of Ligand	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769	Caspase Activation Via Extrinsic Apoptotic Signaling Pathway	2	3	0.6666666666666666
Reactome_2022	gpt-3.5-turbo-0125	Caspase-mediated Cleavage Of Cytoskeletal Proteins R-HSA-264870	Caspase-mediated Cleavage Of Cytoskeletal Proteins	0	3	0.0
Reactome_2022	gpt-3.5-turbo-0125	Cation-coupled Chloride Cotransporters R-HSA-426117	Cation-coupled Chloride Cotransporters	3	6	0.5
Reactome_2022	gpt-3.5-turbo-0125	Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184	Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A	1	3	0.3333333333333333
Reactome_2022	gpt-3.5-turbo-0125	Cell Cycle Checkpoints R-HSA-69620	Cell Cycle Checkpoints	2	6	0.3333333333333333
Reactome_2022	gpt-3.5-turbo-0125	Cell Cycle R-HSA-1640170	Cell Cycle	4	9	0.4444444444444444
Reactome_2022	gpt-3.5-turbo-0125	Cell Cycle, Mitotic R-HSA-69278	Cell Cycle, Mitotic	5	10	0.5
Reactome_2022	gpt-3.5-turbo-0125	Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998	Cell Death Signaling Via NRAGE, NRIF And NADE	3	3	1.0
Reactome_2022	gpt-3.5-turbo-0125	Cell Junction Organization R-HSA-446728	Cell Junction Organization	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424	Cell Recruitment (Pro-Inflammatory Response)	1	6	0.16666666666666666
Reactome_2022	gpt-3.5-turbo-0125	Cell Surface Interactions At Vascular Wall R-HSA-202733	Cell Surface Interactions At Vascular Wall	2	2	1.0
Reactome_2022	gpt-3.5-turbo-0125	Cell-Cell Communication R-HSA-1500931	Cell-Cell Communication	0	5	0.0
Reactome_2022	gpt-3.5-turbo-0125	Cell-cell Junction Organization R-HSA-421270	Cell-cell Junction Organization	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Cell-extracellular Matrix Interactions R-HSA-446353	Cell-extracellular Matrix Interactions	2	24	0.08333333333333333
Reactome_2022	gpt-3.5-turbo-0125	Cellular Senescence R-HSA-2559583	Cellular Senescence	3	4	0.75
Reactome_2022	gpt-3.5-turbo-0125	Cellular Hexose Transport R-HSA-189200	Cellular Hexose Transport	4	11	0.36363636363636365
Reactome_2022	gpt-3.5-turbo-0125	Cellular Response To Chemical Stress R-HSA-9711123	Cellular Response To Chemical Stress	0	3	0.0
Reactome_2022	gpt-3.5-turbo-0125	Cellular Response To Heat Stress R-HSA-3371556	Cellular Response To Heat Stress	2	5	0.4
Reactome_2022	gpt-3.5-turbo-0125	Cellular Response To Hypoxia R-HSA-1234174	Cellular Response To Hypoxia	2	4	0.5
Reactome_2022	gpt-3.5-turbo-0125	Cellular Response To Starvation R-HSA-9711097	Cellular Response To Starvation	1	3	0.3333333333333333
Reactome_2022	gpt-3.5-turbo-0125	Cellular Responses To Stimuli R-HSA-8953897	Cellular Responses To Stimuli	1	7	0.14285714285714285
Reactome_2022	gpt-3.5-turbo-0125	Cellular Responses To Stress R-HSA-2262752	Cellular Responses To Stress	4	4	1.0
Reactome_2022	gpt-3.5-turbo-0125	Centrosome Maturation R-HSA-380287	Centrosome Maturation	1	4	0.25
Reactome_2022	gpt-3.5-turbo-0125	ChREBP Activates Metabolic Gene Expression R-HSA-163765	ChREBP Activates Metabolic Gene Expression	0	1	0.0
Reactome_2022	gpt-3.5-turbo-0125	Chaperone Mediated Autophagy R-HSA-9613829	Chaperone Mediated Autophagy	2	3	0.6666666666666666
Reactome_2022	gpt-3.5-turbo-0125	Chaperonin-mediated Protein Folding R-HSA-390466	Chaperonin-mediated Protein Folding	0	1	0.0
Reactome_2022	gpt-3.5-turbo-0125	Chemokine Receptors Bind Chemokines R-HSA-380108	Chemokine Receptors Bind Chemokines	7	18	0.3888888888888889
Reactome_2022	gpt-3.5-turbo-0125	Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035	Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex	0	4	0.0
Reactome_2022	gpt-3.5-turbo-0125	Cholesterol Biosynthesis R-HSA-191273	Cholesterol Biosynthesis	3	6	0.5
Reactome_2022	gpt-3.5-turbo-0125	Choline Catabolism R-HSA-6798163	Choline Catabolism	2	2	1.0
Reactome_2022	gpt-3.5-turbo-0125	Chondroitin Sulfate Biosynthesis R-HSA-2022870	Chondroitin Sulfate Biosynthesis	2	3	0.6666666666666666
Reactome_2022	gpt-3.5-turbo-0125	Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185	Chondroitin Sulfate/Dermatan Sulfate Metabolism	0	2	0.0
Reactome_2022	gpt-3.5-turbo-0125	Chromatin Modifying Enzymes R-HSA-3247509	Chromatin Modifying Enzymes	1	4	0.25
Reactome_2022	gpt-3.5-turbo-0125	Chromosome Maintenance R-HSA-73886	Chromosome Maintenance	2	5	0.4
Reactome_2022	gpt-3.5-turbo-0125	Chylomicron Assembly R-HSA-8963888	Chylomicron Assembly	3	7	0.42857142857142855
Reactome_2022	gpt-3.5-turbo-0125	Chylomicron Clearance R-HSA-8964026	Chylomicron Clearance	3	7	0.42857142857142855
Reactome_2022	gpt-3.5-turbo-0125	Chylomicron Remodeling R-HSA-8963901	Chylomicron Remodeling	2	4	0.5
Reactome_2022	gpt-3.5-turbo-0125	Cilium Assembly R-HSA-5617833	Cilium Assembly	1	4	0.25
Reactome_2022	gpt-3.5-turbo-0125	Circadian Clock R-HSA-400253	Circadian Clock	0	20	0.0
Reactome_2022	gpt-3.5-turbo-0125	Citric Acid Cycle (TCA Cycle) R-HSA-71403	Citric Acid Cycle (TCA Cycle)	7	34	0.20588235294117646
Reactome_2022	gpt-3.5-turbo-0125	Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	Class A/1 (Rhodopsin-like Receptors)	8	9	0.8888888888888888
Reactome_2022	gpt-3.5-turbo-0125	Class B/2 (Secretin Family Receptors) R-HSA-373080	Class B/2 (Secretin Family Receptors)	0	1	0.0
Reactome_2022	gpt-3.5-turbo-0125	Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499	Class C/3 (Metabotropic Glutamate/Pheromone Receptors)	0	4	0.0
Reactome_2022	gpt-3.5-turbo-0125	Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169	Class I MHC Mediated Antigen Processing And Presentation	2	9	0.2222222222222222
Reactome_2022	gpt-3.5-turbo-0125	Class I Peroxisomal Membrane Protein Import R-HSA-9603798	Class I Peroxisomal Membrane Protein Import	1	5	0.2
Reactome_2022	gpt-3.5-turbo-0125	Classical Antibody-Mediated Complement Activation R-HSA-173623	Classical Antibody-Mediated Complement Activation	3	9	0.3333333333333333
Reactome_2022	gpt-3.5-turbo-0125	Clathrin-mediated Endocytosis R-HSA-8856828	Clathrin-mediated Endocytosis	2	9	0.2222222222222222
Reactome_2022	gpt-3.5-turbo-0125	Cleavage Of Damaged Purine R-HSA-110331	Cleavage Of Damaged Purine	0	1	0.0
Reactome_2022	gpt-3.5-turbo-0125	Cleavage Of Damaged Pyrimidine R-HSA-110329	Cleavage Of Damaged Pyrimidine	0	1	0.0
Reactome_2022	gpt-3.5-turbo-0125	Cobalamin (Cbl) Metabolism R-HSA-9759218	Cobalamin (Cbl) Metabolism	3	3	1.0
Reactome_2022	gpt-3.5-turbo-0125	Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741	Cobalamin (Cbl, Vitamin B12) Transport And Metabolism	2	7	0.2857142857142857
Reactome_2022	gpt-3.5-turbo-0125	Coenzyme A Biosynthesis R-HSA-196783	Coenzyme A Biosynthesis	0	5	0.0
Reactome_2022	gpt-3.5-turbo-0125	Cohesin Loading Onto Chromatin R-HSA-2470946	Cohesin Loading Onto Chromatin	0	4	0.0
Reactome_2022	gpt-3.5-turbo-0125	Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814	Collagen Biosynthesis And Modifying Enzymes	3	5	0.6
Reactome_2022	gpt-3.5-turbo-0125	Collagen Chain Trimerization R-HSA-8948216	Collagen Chain Trimerization	2	2	1.0
Reactome_2022	gpt-3.5-turbo-0125	Collagen Degradation R-HSA-1442490	Collagen Degradation	2	6	0.3333333333333333
Reactome_2022	gpt-3.5-turbo-0125	Collagen Formation R-HSA-1474290	Collagen Formation	3	5	0.6
Reactome_2022	gpt-3.5-turbo-0125	Common Pathway Of Fibrin Clot Formation R-HSA-140875	Common Pathway Of Fibrin Clot Formation	2	4	0.5
Reactome_2022	gpt-3.5-turbo-0125	Competing Endogenous RNAs (ceRNAs) Regulate PTEN Translation R-HSA-8948700	Competing Endogenous RNAs (ceRNAs) Regulate PTEN Translation	1	1	1.0
Reactome_2022	gpt-3.5-turbo-0125	Complement Cascade R-HSA-166658	Complement Cascade	18	30	0.6
Reactome_2022	gpt-3.5-turbo-0125	Complex I Biogenesis R-HSA-6799198	Complex I Biogenesis	1	4	0.25
Reactome_2022	gpt-3.5-turbo-0125	Condensation Of Prometaphase Chromosomes R-HSA-2514853	Condensation Of Prometaphase Chromosomes	2	2	1.0
Reactome_2022	gpt-3.5-turbo-0125	Condensation Of Prophase Chromosomes R-HSA-2299718	Condensation Of Prophase Chromosomes	2	2	1.0
Reactome_2022	gpt-3.5-turbo-0125	Conjugation Of Benzoate With Glycine R-HSA-177135	Conjugation Of Benzoate With Glycine	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Conjugation Of Salicylate With Glycine R-HSA-177128	Conjugation Of Salicylate With Glycine	0	0	0.0
Reactome_2022	gpt-3.5-turbo-0125	Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400	Constitutive Signaling By AKT1 E17K In Cancer	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530	Constitutive Signaling By Aberrant PI3K In Cancer	4	6	0.6666666666666666
Reactome_2022	gpt-3.5-turbo-0125	Constitutive Signaling By EGFRvIII R-HSA-5637810	Constitutive Signaling By EGFRvIII	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Constitutive Signaling By Ligand-Responsive EGFR Cancer Variants R-HSA-1236382	Constitutive Signaling By Ligand-Responsive EGFR Cancer Variants	0	2	0.0
Reactome_2022	gpt-3.5-turbo-0125	Constitutive Signaling By NOTCH1 HD Domain Mutants R-HSA-2691232	Constitutive Signaling By NOTCH1 HD Domain Mutants	1	1	1.0
Reactome_2022	gpt-3.5-turbo-0125	Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862	Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants	1	1	1.0
Reactome_2022	gpt-3.5-turbo-0125	Constitutive Signaling By NOTCH1 t(7;9)(NOTCH1:M1580 K2555) Translocation Mutant R-HSA-2660826	Constitutive Signaling By NOTCH1 t(7;9)(NOTCH1:M1580 K2555) Translocation Mutant	1	1	1.0
Reactome_2022	gpt-3.5-turbo-0125	Constitutive Signaling By Overexpressed ERBB2 R-HSA-9634285	Constitutive Signaling By Overexpressed ERBB2	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407	Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase	1	3	0.3333333333333333
Reactome_2022	gpt-3.5-turbo-0125	Cooperation Of PDCL (PhLP1) And TRiC/CCT In G-protein Beta Folding R-HSA-6814122	Cooperation Of PDCL (PhLP1) And TRiC/CCT In G-protein Beta Folding	1	2	0.5
Reactome_2022	gpt-3.5-turbo-0125	Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958	Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding	12	13	0.9230769230769231
Reactome_2022	gpt-3.5-turbo-0125	Costimulation By CD28 Family R-HSA-388841	Costimulation By CD28 Family	2	3	0.6666666666666666
Reactome_2022	gpt-3.5-turbo-0125	Creatine Metabolism R-HSA-71288	Creatine Metabolism	0	5	0.0
Reactome_2022	gpt-3.5-turbo-0125	Creation Of C4 And C2 Activators R-HSA-166786	Creation Of C4 And C2 Activators	1	3	0.3333333333333333
Reactome_2022	gpt-3.5-turbo-0125	Cristae Formation R-HSA-8949613	Cristae Formation	0	1	0.0
Reactome_2022	gpt-3.5-turbo-0125	Cross-presentation Of Particulate Exogenous Antigens (Phagosomes) R-HSA-1236973	Cross-presentation Of Particulate Exogenous Antigens (Phagosomes)	0	2	0.0
Reactome_2022	gpt-3.5-turbo-0125	Cross-presentation Of Soluble Exogenous Antigens (Endosomes) R-HSA-1236978	Cross-presentation Of Soluble Exogenous Antigens (Endosomes)	0	2	0.0
Reactome_2022	gpt-3.5-turbo-0125	Crosslinking Of Collagen Fibrils R-HSA-2243919	Crosslinking Of Collagen Fibrils	1	5	0.2
Reactome_2022	gpt-3.5-turbo-0125	Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273	Cyclin A/B1/B2 Associated Events During G2/M Transition	3	6	0.5
Reactome_2022	gpt-3.5-turbo-0125	Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656	Cyclin A:Cdk2-associated Events At S Phase Entry	2	3	0.6666666666666666
Reactome_2022	gpt-3.5-turbo-0125	Cyclin D Associated Events In G1 R-HSA-69231	Cyclin D Associated Events In G1	3	4	0.75
Reactome_2022	gpt-3.5-turbo-0125	Cyclin E Associated Events During G1/S Transition R-HSA-69202	Cyclin E Associated Events During G1/S Transition	2	7	0.2857142857142857
Reactome_2022	gpt-3.5-turbo-0125	Cytochrome P450 - Arranged By Substrate Type R-HSA-211897	Cytochrome P450 - Arranged By Substrate Type	8	13	0.6153846153846154
Reactome_2022	gpt-3.5-turbo-0125	Cytochrome C-Mediated Apoptotic Response R-HSA-111461	Cytochrome C-Mediated Apoptotic Response	3	6	0.5
Reactome_2022	gpt-3.5-turbo-0125	Cytokine Signaling In Immune System R-HSA-1280215	Cytokine Signaling In Immune System	2	9	0.2222222222222222
Reactome_2022	gpt-3.5-turbo-0125	Cytoprotection By HMOX1 R-HSA-9707564	Cytoprotection By HMOX1	1	4	0.25
